x,y,z,index
287.0,335.0,387.0,0.0
286.0,336.0,385.0,0.0
287.0,337.0,385.0,0.0
320.0,305.0,276.0,1.0
321.0,305.0,276.0,1.0
321.0,303.0,279.0,1.0
321.0,304.0,279.0,1.0
320.0,302.0,281.0,1.0
318.0,300.0,283.0,1.0
318.0,297.0,288.0,1.0
318.0,301.0,284.0,1.0
319.0,301.0,283.0,1.0
321.0,302.0,283.0,1.0
320.0,304.0,280.0,1.0
320.0,306.0,283.0,1.0
319.0,306.0,283.0,1.0
319.0,307.0,283.0,1.0
318.0,306.0,285.0,1.0
316.0,302.0,286.0,1.0
315.0,302.0,289.0,1.0
315.0,302.0,287.0,1.0
315.0,302.0,288.0,1.0
316.0,305.0,288.0,1.0
317.0,306.0,286.0,1.0
317.0,306.0,284.0,1.0
317.0,306.0,282.0,1.0
318.0,304.0,283.0,1.0
318.0,305.0,281.0,1.0
317.0,304.0,281.0,1.0
317.0,304.0,281.0,1.0
318.0,306.0,287.0,1.0
318.0,307.0,289.0,1.0
317.0,304.0,288.0,1.0
318.0,305.0,285.0,1.0
318.0,306.0,283.0,1.0
318.0,305.0,285.0,1.0
318.0,306.0,288.0,1.0
317.0,304.0,288.0,1.0
314.0,302.0,286.0,1.0
315.0,303.0,285.0,1.0
314.0,303.0,283.0,1.0
315.0,302.0,284.0,1.0
315.0,304.0,285.0,1.0
317.0,304.0,285.0,1.0
317.0,304.0,287.0,1.0
316.0,303.0,287.0,1.0
317.0,303.0,284.0,1.0
317.0,304.0,283.0,1.0
317.0,304.0,284.0,1.0
318.0,304.0,284.0,1.0
317.0,302.0,286.0,1.0
317.0,300.0,288.0,1.0
317.0,301.0,285.0,1.0
286.0,326.0,388.0,0.0
292.0,332.0,390.0,0.0
290.0,330.0,394.0,0.0
292.0,331.0,387.0,0.0
290.0,335.0,386.0,0.0
291.0,340.0,385.0,0.0
292.0,342.0,389.0,0.0
292.0,335.0,391.0,0.0
291.0,327.0,392.0,0.0
290.0,325.0,390.0,0.0
289.0,331.0,390.0,0.0
289.0,332.0,390.0,0.0
288.0,328.0,386.0,0.0
288.0,333.0,384.0,0.0
288.0,337.0,388.0,0.0
289.0,333.0,393.0,0.0
289.0,330.0,392.0,0.0
